date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:57	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Mar%202014%2015:36:15%20GMT	http://www.admision.unmsm.edu.pe/robots.txt		(from )
10:40:13	643/643	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:44%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/index.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/index.html	(from )
10:40:33	512/512	---M-Z	200	added ('OK')	text/css	date:Sun,%2009%20Mar%202014%2000:41:44%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/css/estilos.css	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/css/estilos.css	(from )
10:41:12	2829/2829	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C.html	(from )
10:41:38	421/421	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/J.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/J.html	(from )
10:41:50	962/962	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:44%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/N.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/N.html	(from )
10:43:15	2245/2245	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/013/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/013/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:44:43	1874/1874	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/041/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/041/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:44:47	973/973	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/042/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/042/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:44:51	678/678	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/043/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/043/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:44:51	3616/3616	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/051/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/051/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
10:44:55	1098/1098	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:42%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/C/071/0.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/C/071/0.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/index.html)
